Season,Episode Number,Short Name,Long Name,Episode Length (min),Episode Name,Notes
1,1,SF1,The Super Family's 1st Movie: Makuta's Reign,56,The Super Family's 1st Movie: Makuta's Reign – Part 1,
1,2,SF1,The Super Family's 1st Movie: Makuta's Reign,56,The Super Family's 1st Movie: Makuta's Reign – Part 2,
1,3,SF2,The Super Family's 2nd Movie,59,The Super Family's 2nd Movie – Part 1,
1,4,SF2,The Super Family's 2nd Movie,59,The Super Family's 2nd Movie – Part 2,
1,5,SF3,The Super Family's 3rd Movie: Makuta's Revenge,58,The Super Family's 3rd Movie: Makuta's Revenge – Part 1,
1,6,SF3,The Super Family's 3rd Movie: Makuta's Revenge,58,The Super Family's 3rd Movie: Makuta's Revenge – Part 2,
1,7,SF3,The Super Family's 3rd Movie: Makuta's Revenge,58,The Super Family's 3rd Movie: Makuta's Revenge – Part 3,
1,8,SF3,The Super Family's 3rd Movie: Makuta's Revenge,58,The Super Family's 3rd Movie: Makuta's Revenge – Part 4,
1,9,SF4,The Super Family's 4th Movie,60,The Super Family's 4th Movie – Part 1,
1,10,SF4,The Super Family's 4th Movie,60,The Super Family's 4th Movie – Part 2,
2,1,SF5,The Super Family's 5th Movie: Escape From Mata Nui,41,The Super Family's 5th Movie: Escape From Mata Nui – Part 1,
2,2,SF5,The Super Family's 5th Movie: Escape From Mata Nui,41,The Super Family's 5th Movie: Escape From Mata Nui – Part 2,
2,3,SF5,The Super Family's 5th Movie: Escape From Mata Nui,41,The Super Family's 5th Movie: Escape From Mata Nui – Part 3,
2,4,SF6,The Super Family's 6th Movie: Return Home,58,The Super Family's 6th Movie: Return Home – Part 1,
2,5,SF6,The Super Family's 6th Movie: Return Home,58,The Super Family's 6th Movie: Return Home – Part 2,
2,6,SF7,The Super Family's 7th Movie: The Toa Nuva,58,The Super Family's 7th Movie: The Toa Nuva – Part 1,
2,7,SF7,The Super Family's 7th Movie: The Toa Nuva,58,The Super Family's 7th Movie: The Toa Nuva – Part 2,
2,8,SF7,The Super Family's 7th Movie: The Toa Nuva,58,The Super Family's 7th Movie: The Toa Nuva – Part 3,
2,9,SF7,The Super Family's 7th Movie: The Toa Nuva,58,The Super Family's 7th Movie: The Toa Nuva – Part 4,
2,10,SF8,The Super Family's 8th Movie: Kal,56,The Super Family's 8th Movie: Kal – Part 1,
2,11,SF8,The Super Family's 8th Movie: Kal,56,The Super Family's 8th Movie: Kal – Part 2,
2,12,SF8,The Super Family's 8th Movie: Kal,56,The Super Family's 8th Movie: Kal – Part 3,
2,13,SF9,The Super Family's 9th Movie: The Beginning,58,The Super Family's 9th Movie: The Beginning – Part 1,
2,14,SF9,The Super Family's 9th Movie: The Beginning,58,The Super Family's 9th Movie: The Beginning – Part 2,
2,15,SF9,The Super Family's 9th Movie: The Beginning,58,The Super Family's 9th Movie: The Beginning – Part 3,
2,16,SF9,The Super Family's 9th Movie: The Beginning,58,The Super Family's 9th Movie: The Beginning – Part 4,
2,17,SF9,The Super Family's 9th Movie: The Beginning,58,The Super Family's 9th Movie: The Beginning – Part 5,
3,1,SF10,The Super Family's 10th Movie: Prepare for the War,40,The Super Family's 10th Movie: Prepare for the War – Part 1,
3,2,SF10,The Super Family's 10th Movie: Prepare for the War,40,The Super Family's 10th Movie: Prepare for the War – Part 2,
3,3,SF10,The Super Family's 10th Movie: Prepare for the War,40,The Super Family's 10th Movie: Prepare for the War – Part 3,
3,4,SF11,The Super Family's 11th Movie: The Universal War,41,The Super Family's 11th Movie: The Universal War – Part 1,
3,5,SF11,The Super Family's 11th Movie: The Universal War,41,The Super Family's 11th Movie: The Universal War – Part 2,
3,6,SF11,The Super Family's 11th Movie: The Universal War,41,The Super Family's 11th Movie: The Universal War – Part 3,
3,7,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 1,
3,8,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 2,
3,9,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 3,
3,10,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 4,
3,11,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 5,
3,12,SF12,The Super Family's 12th Movie: The Final Battle,55,The Super Family's 12th Movie: The Final Battle – Part 6,
3,13,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 1,
3,14,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 2,
3,15,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 3,
3,16,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 4,
3,17,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 5,
3,18,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 6,
3,19,SF13,The Super Family's 13th Movie: Destiny,53,The Super Family's 13th Movie: Destiny – Part 7,
3,20,SF14,The Super Family's 14th Movie: The Great Vacation,55,The Super Family's 14th Movie: The Great Vacation – Part 1,
3,21,SF14,The Super Family's 14th Movie: The Great Vacation,55,The Super Family's 14th Movie: The Great Vacation – Part 2,
3,22,SF14,The Super Family's 14th Movie: The Great Vacation,55,The Super Family's 14th Movie: The Great Vacation – Part 3,
